time, x_ref, y_ref, heading_ref, v_ref, steering_ref
3.94, 17.139, 1.68742, -0.8844, 5, 0.032779
3.95, 17.1825, 1.63437, -0.883631, 5, 0.0441474
3.96, 17.226, 1.58141, -0.882633, 5, 0.0555802
3.97, 17.2695, 1.52857, -0.881404, 5, 0.0670871
3.98, 17.313, 1.47588, -0.879944, 5, 0.0786778
3.99, 17.3565, 1.42335, -0.87825, 5, 0.0903618
4, 17.4, 1.37102, -0.876319, 5, 0.102149
4.01, 17.4435, 1.3189, -0.874149, 5, 0.114049
4.02, 17.487, 1.26703, -0.871736, 5, 0.12607
4.03, 17.5305, 1.21542, -0.869078, 5, 0.138223
4.04, 17.574, 1.16411, -0.866171, 5, 0.150516
4.05, 17.6175, 1.11311, -0.86301, 5, 0.162959
4.06, 17.661, 1.06244, -0.859593, 5, 0.17556
4.07, 17.7045, 1.01214, -0.855913, 5, 0.188327
4.08, 17.748, 0.962226, -0.851967, 5, 0.201268
4.09, 17.7915, 0.912721, -0.84775, 5, 0.214392
4.1, 17.835, 0.863647, -0.843256, 5, 0.227704
4.11, 17.8785, 0.81503, -0.838479, 5, 0.241212
4.12, 17.922, 0.766891, -0.833414, 5, 0.254922
4.13, 17.9655, 0.719254, -0.828054, 5, 0.268839
4.14, 18.009, 0.672141, -0.822391, 5, 0.282966
4.15, 18.0525, 0.625574, -0.81642, 5, 0.297309
4.16, 18.096, 0.579576, -0.810133, 5, 0.311868
4.17, 18.1395, 0.534168, -0.803522, 5, 0.326646
4.18, 18.183, 0.489371, -0.796579, 5, 0.341642
4.19, 18.2265, 0.445207, -0.789296, 5, 0.356855
4.2, 18.27, 0.401697, -0.781664, 5, 0.372282
4.21, 18.3135, 0.358861, -0.773673, 5, 0.387919
4.22, 18.357, 0.31672, -0.765315, 5, 0.40376
4.23, 18.4005, 0.275294, -0.756581, 5, 0.419798
4.24, 18.444, 0.234602, -0.747459, 5, 0.436021
4.25, 18.4875, 0.194663, -0.73794, 5, 0.452419
4.26, 18.531, 0.155497, -0.728014, 5, 0.468977
4.27, 18.5745, 0.117122, -0.717669, 5, 0.485679
4.28, 18.618, 0.0795565, -0.706896, 5, 0.502507
4.29, 18.6615, 0.0428175, -0.695683, 5, 0.51944
4.3, 18.705, 0.00692278, -0.68402, 5, 0.536454
4.31, 18.7485, -0.0281108, -0.671895, 5, 0.553526
4.32, 18.792, -0.0622666, -0.659298, 5, 0.570627
4.33, 18.8355, -0.0955287, -0.646217, 5, 0.587727
4.34, 18.879, -0.127881, -0.632643, 5, 0.604795
4.35, 18.9225, -0.15931, -0.618566, 5, 0.621796
4.36, 18.966, -0.189799, -0.603975, 5, 0.638696
4.37, 19.0095, -0.219334, -0.588862, 5, 0.655457
4.38, 19.053, -0.247902, -0.573219, 5, 0.67204
4.39, 19.0965, -0.27549, -0.557037, 5, 0.688406
4.4, 19.14, -0.302084, -0.54031, 5, 0.704513
4.41, 19.1835, -0.327673, -0.523034, 5, 0.720321
4.42, 19.227, -0.352244, -0.505204, 5, 0.735788
4.43, 19.2705, -0.375787, -0.486818, 5, 0.750872
4.44, 19.314, -0.39829, -0.467875, 5, 0.765531
4.45, 19.3575, -0.419744, -0.448377, 5, 0.779724
4.46, 19.401, -0.440139, -0.428328, 5, 0.793411
4.47, 19.4445, -0.459466, -0.407733, 5, 0.806552
4.48, 19.488, -0.477715, -0.386602, 5, 0.81911
4.49, 19.5315, -0.49488, -0.364945, 5, 0.831047
4.5, 19.575, -0.510952, -0.342778, 5, 0.84233
4.51, 19.6185, -0.525925, -0.320117, 5, 0.852924
4.52, 19.662, -0.539792, -0.296983, 5, 0.862799
